name,country,region,secret,company,region1,currency
Joelle Silva,Austria,Maluku,FUP60QWM2TG,Molestie Tortor LLP,Heredia,"$7,947.94"
Macaulay Rodriguez,South Africa,Sindh,HAR21LUS3TC,Ante Dictum Inc.,Van,"$7,232.19"
Walker Hahn,Italy,Alberta,MOA04OUK5GJ,Nec Industries,Ogun,$561.51
Tarik Middleton,United Kingdom,Diyarbakır,MJC73CFU9DQ,Sapien Gravida Non Industries,Tarapacá,"$6,744.41"
Jameson Nicholson,Sweden,Aceh,DJO43LTM7OQ,Ridiculus Foundation,Puntarenas,"$9,324.44"
Rebecca Simon,Russian Federation,Castilla - La Mancha,JJS32YTY2XH,Augue Consulting,Opolskie,"$7,497.20"
Neville Weber,New Zealand,Central Visayas,HYK75YTS4WK,Magna Corporation,Kahramanmaraş,"$1,735.78"
Brandon Branch,China,Upper Austria,PVM12CJG4WM,Ultrices Mauris Ipsum Incorporated,Atacama,"$9,438.78"
Yvonne Ball,Turkey,West Java,QBB20LCL7QS,Nec Urna Associates,Quebec,"$7,445.91"
Basil Rollins,United States,Querétaro,YBY11BQS6YW,Vitae Aliquet Nec Industries,Dolnośląskie,"$8,689.00"
Alika Vega,Philippines,Toscana,ITY56KCE4UC,Nullam Scelerisque Ltd,South Jeolla,"$7,108.89"
Miranda Miles,Nigeria,Kerala,QII34IUG3VG,In Tincidunt Congue Company,Central Java,"$3,559.28"
Duncan Green,Netherlands,West Sulawesi,JDB12OKT2YJ,Donec Associates,East Kalimantan,"$4,151.05"
Eugenia Graham,Belgium,Vlaams-Brabant,ABJ55ODM1RK,Vivamus Rhoncus Donec Corporation,Western Cape,"$4,062.24"
Lacey Washington,Chile,Northern Cape,YTQ74IEI4HM,Sociosqu Ad LLP,Querétaro,"$5,108.66"
Roary Alford,Chile,Euskadi,TDL90OUD5FV,Eget Associates,Luxemburg,"$8,283.38"
Sybill Lane,Australia,Biobío,OXT56IEL5ZM,Luctus Ut Corporation,Indiana,"$5,110.91"
Jael Love,Ukraine,Arequipa,TMW47YIO1XQ,In Faucibus PC,Yukon,$935.17
Herrod Stevenson,South Korea,Niedersachsen,SQK51IOB2XN,Etiam Bibendum Fermentum Industries,Nordrhein-Westphalen,"$9,493.95"
Amir Hays,Philippines,Molise,CPW60RCM7MR,Enim Mi Industries,Odisha,"$2,223.39"
