name,country,region,secret,company,region1,currency
Dieter Holland,United States,Noord Brabant,NNZ17XHP4NT,Non Ante Inc.,Zachodniopomorskie,"$6,571.16"
Samuel Nelson,Belgium,Aquitaine,HEL16LQO0WA,Morbi Tristique Senectus Limited,Puntarenas,"$8,916.02"
Regan Warren,Costa Rica,Irkutsk Oblast,AXM15BKM2DU,Aliquam Vulputate Ltd,Yucatán,"$4,531.20"
Desiree Burt,Nigeria,Aisén,PDO82WHY3HM,Magna Sed Eu LLC,West Sumatra,"$3,266.60"
Pearl Berg,Belgium,Indiana,IDW18DPE4YA,Ac Turpis Associates,Stockholms län,"$4,683.43"
Doris Sanders,Italy,Volyn oblast,URG58BTI4ZE,Dui Augue Foundation,South Gyeongsang,"$3,477.04"
Jennifer Lewis,India,North Jeolla,JNT82EXL9IA,Fusce Feugiat Lorem Company,South Island,"$4,195.86"
Henry Russell,Spain,Huádōng,PUS71RXX0YH,Diam Sed LLP,Utah,$7.81
Garrison Watson,Norway,Jönköpings län,QQL16HVS2QO,Tincidunt Orci Foundation,Sussex,$358.94
Mia Clements,India,Puntarenas,LAP21COF2PJ,Arcu Corporation,North West,"$9,716.97"
Guy Owen,Nigeria,Norte de Santander,LRC58MXL8ZQ,Ornare Company,Gelderland,"$7,641.11"
Preston Bates,Turkey,Bangsamoro,MYZ09ZAN4EQ,Nisl Elementum Inc.,New Brunswick,"$5,957.80"
Geraldine Merrill,Brazil,Sardegna,BXA68FIF3RV,Sem Corporation,Jeju,"$5,687.08"
Victoria Moore,Spain,KwaZulu-Natal,FBV60WHU4GS,Penatibus Et Magnis PC,Eastern Visayas,"$1,678.68"
Amity Poole,Vietnam,Nordland,TUO98SFJ0OW,Vitae Nibh Donec LLP,North Jeolla,"$9,153.99"
Jaquelyn Sampson,India,Antwerpen,IPH60ZGC8MN,Eget Tincidunt Company,Tamil Nadu,"$7,321.89"
Mallory Lancaster,Belgium,Van,XDK86TVY8IC,Malesuada Industries,Vladimir Oblast,"$1,506.77"
Madeline Burton,Ukraine,North Region,KHY50OMG0GW,Dolor Egestas Rhoncus Inc.,Chocó,"$1,957.79"
Howard Mendoza,Netherlands,Rostov Oblast,IIV40RMT4DB,Et Arcu Limited,Jambi,"$6,305.07"
Alexa Barnett,Norway,Vienna,LQC76OYK2KR,Neque Morbi Company,Cartago,"$6,830.40"
Audrey Parsons,New Zealand,Rheinland-Pfalz,TNC42KIH1XG,Eget Dictum Institute,Arica y Parinacota,"$5,578.63"
Jared Cardenas,Ukraine,Östergötlands län,INN71EIC0JK,Eu Sem Consulting,Jeju,"$7,462.73"
Dominique Carrillo,Australia,Stockholms län,HXI15PVC2GH,Sem Ut Limited,Amur Oblast,"$1,490.55"
Deirdre Cabrera,United States,Nunavut,LQQ62WEN8XS,Nunc Sed LLP,Southwestern Tagalog Region,$713.83
Cade Yang,Chile,Merionethshire,AKT16FTD5KL,Nec Imperdiet Consulting,South Jeolla,"$2,059.58"
Charlotte Hatfield,Chile,East Lothian,KAG68RHE4HR,Morbi Accumsan Industries,Trentino-Alto Adige,$584.36
Rowan Petty,United States,Tolima,LTL53IQY5IL,Auctor Incorporated,Cartago,"$6,033.58"
Lunea Kelley,Germany,Trøndelag,XAG78SVN6NS,Tortor LLP,Niedersachsen,"$2,549.97"
Benjamin Cooke,Indonesia,Antwerpen,QWC35KEO0IJ,Semper Auctor Associates,Puno,"$4,791.57"
Hasad Sweeney,Brazil,Bayern,XRF13MZS2BL,Duis Sit Amet Industries,Jeju,"$7,715.95"
