name,country,region,secret,company,region1,currency
Galvin Rodriguez,China,Northern Cape,NXP60GGA9BP,Nec Cursus Industries,Coquimbo,"$5,781.54"
Kylan Fitzgerald,Colombia,Hậu Giang,TLW65EEJ9EQ,Ipsum Associates,Bolívar,"$9,245.79"
Henry Pollard,Turkey,Bali,BBW43HYQ4CJ,Dapibus Gravida Industries,Limousin,"$1,621.32"
Ava Knox,Nigeria,Maranhão,QRS65HVU7HT,Sit Amet Consectetuer Incorporated,Dunbartonshire,"$7,984.70"
Shaeleigh Chase,Spain,Jönköpings län,TQW32UVK1SV,Purus Sapien Ltd,Los Lagos,"$8,692.25"
Brett Pace,New Zealand,Niger,EYQ15ENB3WS,Accumsan Interdum Associates,Niedersachsen,"$4,156.17"
Ferdinand Bauer,India,Munster,FOY60XSL1XG,Malesuada Vel Venenatis LLP,Atacama,"$3,009.52"
Simon Pugh,Poland,Amazonas,AJK74VMO6HM,A Arcu Sed Incorporated,North Island,"$1,910.64"
Bruno Cooley,United Kingdom,Ulster,OPM92XBP1EW,Ligula Elit Consulting,East Region,"$5,652.49"
Xandra Bowman,Austria,Innlandet,GNY42OVU2CL,Fusce Limited,Burgenland,"$3,309.44"
Garrett Lester,Spain,Kent,WXS44LYP8BN,Accumsan Laoreet PC,Victoria,"$6,159.30"
Graham Ingram,Australia,Valparaíso,RNH53YKF5MW,Varius LLP,Chhattisgarh,"$4,555.32"
Jessamine Herrera,Brazil,Troms og Finnmark,CYJ71IWV4PV,Egestas Urna LLC,Limón,"$8,579.16"
Xanthus Delacruz,France,Iowa,NLX17HSJ0JP,Nullam Suscipit Est PC,South Jeolla,"$2,682.79"
Kelsey Anthony,United States,Luxemburg,DWN49SOF6WC,Posuere Enim Industries,Saint Petersburg City,"$4,272.79"
Ashton Levine,Belgium,Vorarlberg,PNT61NFC6IE,Non Nisi Industries,Davao Region,"$1,608.83"
Arsenio Saunders,New Zealand,Bayern,VJA62VIP5AC,Varius Ultrices Mauris Incorporated,Kansas,"$9,564.67"
Hanna Dillon,Poland,Podlaskie,IBC29YQO9YC,Egestas Urna Justo Inc.,Midi-Pyrénées,"$1,277.37"
Kieran Dickson,United States,Akwa Ibom,VWL33IJU6CB,Arcu Sed Corporation,Vestfold og Telemark,"$4,344.97"
Iona Rowe,India,Norfolk,LGQ22TFU1JP,Egestas Rhoncus Institute,Balıkesir,"$1,857.16"
Jarrod Rose,Peru,La Rioja,FIW35XBN4LW,Arcu Aliquam PC,Western Australia,"$7,181.89"
Ingrid Puckett,Chile,Waals-Brabant,KDS84TTM4KG,Egestas Nunc Ltd,Connacht,"$3,649.47"
Ella Holcomb,Brazil,North Jeolla,DWU43HJK7IX,Et Magnis Ltd,Northumberland,"$6,710.39"
Keane Villarreal,Costa Rica,Bayern,MJG53SHP2HQ,Quis Industries,Carinthia,"$6,681.26"
Isadora Hartman,Norway,Cauca,CIR32IHL6UC,Dui Nec Industries,Istanbul,"$3,511.10"
Rose Gross,South Africa,Vorarlberg,PGD34JDG6NW,Nec Tempus Corporation,Viken,"$5,146.67"
Slade Lopez,Russian Federation,Oost-Vlaanderen,WVQ58EQX7YP,Tristique Neque Ltd,Benue,"$7,977.53"
Scarlet Carey,Pakistan,Chelyabinsk Oblast,YQR34WVF6KB,Mi Duis Ltd,Southwestern Tagalog Region,"$4,181.29"
Brett Colon,Indonesia,Stockholms län,QED92ENS8BJ,Sed Institute,Idaho,$393.29
Dora Mathews,Vietnam,Lorraine,UVR56PNC8GX,Auctor Velit Eget Ltd,Connacht,"$4,667.74"
Iris Hale,Chile,Östergötlands län,EWU86RRR7VM,Sem Consequat LLC,Chelyabinsk Oblast,"$8,811.31"
